segment_id,split_label,anomaly_label,domain_shift_op,domain_shift_env,imp23absu_mic,ism330dhcx_acc,ism330dhcx_gyro,split
20240423_10_24_07_segment_0,Normal_Target_Test,normal,spd1000,BckgB,imp23absu_mic_20240423_10_24_07_DataLog_0.parquet,ism330dhcx_acc_20240423_10_24_07_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_24_07_DataLog_0.parquet,train
20240423_18_01_49_segment_0,Anomaly_Source_Test,magnetic,spd1700,BckgC,imp23absu_mic_20240423_18_01_49_DataLog_0.parquet,ism330dhcx_acc_20240423_18_01_49_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_01_49_DataLog_0.parquet,train
20240423_17_52_43_segment_0,Anomaly_Target_Test,magnetic,spd1400,BckgE,imp23absu_mic_20240423_17_52_43_DataLog_0.parquet,ism330dhcx_acc_20240423_17_52_43_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_52_43_DataLog_0.parquet,train
20240423_12_25_59_segment_0,Normal_Target_Test,normal,spd1400,BckgB,imp23absu_mic_20240423_12_25_59_DataLog_0.parquet,ism330dhcx_acc_20240423_12_25_59_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_25_59_DataLog_0.parquet,train
20240423_15_04_44_segment_0,Normal_Source_Test,normal,spd2000,BckgF,imp23absu_mic_20240423_15_04_44_DataLog_0.parquet,ism330dhcx_acc_20240423_15_04_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_04_44_DataLog_0.parquet,train
20240423_14_48_09_segment_0,Normal_Source_Test,normal,spd1900,BckgA,imp23absu_mic_20240423_14_48_09_DataLog_0.parquet,ism330dhcx_acc_20240423_14_48_09_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_48_09_DataLog_0.parquet,train
20240423_17_45_41_segment_0,Anomaly_Target_Test,magnetic,spd1200,BckgE,imp23absu_mic_20240423_17_45_41_DataLog_0.parquet,ism330dhcx_acc_20240423_17_45_41_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_45_41_DataLog_0.parquet,train
20240423_17_01_31_segment_0,Anomaly_Target_Test,belt,spd1400,BckgB,imp23absu_mic_20240423_17_01_31_DataLog_0.parquet,ism330dhcx_acc_20240423_17_01_31_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_01_31_DataLog_0.parquet,train
20240423_13_30_10_segment_0,Normal_Source_Test,normal,spd1600,BckgD,imp23absu_mic_20240423_13_30_10_DataLog_0.parquet,ism330dhcx_acc_20240423_13_30_10_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_30_10_DataLog_0.parquet,train
20240423_17_53_32_segment_0,Anomaly_Target_Test,magnetic,spd1400,BckgB,imp23absu_mic_20240423_17_53_32_DataLog_0.parquet,ism330dhcx_acc_20240423_17_53_32_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_53_32_DataLog_0.parquet,train
20240423_17_48_55_segment_0,Anomaly_Target_Test,magnetic,spd1300,BckgE,imp23absu_mic_20240423_17_48_55_DataLog_0.parquet,ism330dhcx_acc_20240423_17_48_55_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_48_55_DataLog_0.parquet,train
20240423_17_13_08_segment_0,Anomaly_Source_Test,belt,spd1800,BckgD,imp23absu_mic_20240423_17_13_08_DataLog_0.parquet,ism330dhcx_acc_20240423_17_13_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_13_08_DataLog_0.parquet,train
20240423_17_47_01_segment_0,Anomaly_Target_Test,magnetic,spd1200,BckgB,imp23absu_mic_20240423_17_47_01_DataLog_0.parquet,ism330dhcx_acc_20240423_17_47_01_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_47_01_DataLog_0.parquet,train
20240423_10_50_38_segment_0,Normal_Target_Test,normal,spd1100,BckgG,imp23absu_mic_20240423_10_50_38_DataLog_0.parquet,ism330dhcx_acc_20240423_10_50_38_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_50_38_DataLog_0.parquet,train
